"exptDate","cellLine","Well","Cell.Nucleus","conc","resp.ratio"
"2012-03-24","DS2","G11",57908,0,0.998796952279107
"2012-03-24","DS2","H03",20873,2e-06,0.360017420475958
"2012-03-24","DS2","H04",22320,2e-07,0.384975270685737
"2012-03-24","DS2","H05",36287,2e-08,0.625878030796297
"2012-03-24","DS2","H06",55271,2e-09,0.953313986831155
"2012-03-24","DS2","H07",50176,2e-10,0.865435447218976
"2012-03-24","DS2","H08",53615,2e-11,0.924751305457697
"2012-03-24","DS2","H09",55247,2e-12,0.952900034927192
"2012-03-24","DS2","H10",56020,2e-13,0.966232735834005
"2012-03-24","DS2","H11",57691,0,0.99505413714744
"2012-03-24","DS3","A03",7140,2e-06,0.313505087871437
"2012-03-24","DS3","A04",7657,2e-07,0.336205666362968
"2012-03-24","DS3","A05",10694,2e-08,0.469555099397359
"2012-03-24","DS3","A06",18710,2e-09,0.821523836705123
"2012-03-24","DS3","A07",19445,2e-10,0.853796419280124
"2012-03-24","DS3","A08",20120,2e-11,0.88343450531839
"2012-03-24","DS3","A09",19745,2e-12,0.866968901963798
"2012-03-24","DS3","A10",20691,2e-13,0.908506130692982
"2012-03-24","DS3","A11",19739,0,0.866705452310124
"2012-03-24","DS3","B03",8084,2e-06,0.354954500049397
"2012-03-24","DS3","B04",8402,2e-07,0.368917331694091
"2012-03-24","DS3","B05",14253,2e-08,0.625824652301343
"2012-03-24","DS3","B06",21647,2e-09,0.95048244217829
"2012-03-24","DS3","B07",22056,2e-10,0.968440926903698
"2012-03-24","DS3","B08",23702,2e-11,1.04071394856146
"2012-03-24","DS3","B09",22454,2e-12,0.985916420597372
"2012-03-24","DS3","B10",23589,2e-13,1.03575231341727
"2012-03-24","DS3","B11",22499,0,0.987892292999923
"2012-03-24","DS3","C03",9239,2e-06,0.405668558381541
"2012-03-24","DS3","C04",9051,2e-07,0.397413802566439
"2012-03-24","DS3","C05",15651,2e-08,0.687208421607262
"2012-03-24","DS3","C06",24602,2e-09,1.08023139661248
"2012-03-24","DS3","C07",25464,2e-10,1.11808033019023
"2012-03-24","DS3","C08",24987,2e-11,1.09713608272319
"2012-03-24","DS3","C09",24282,2e-12,1.06618074841656
"2012-03-24","DS3","C10",25341,2e-13,1.11267961228993
"2012-03-24","DS3","C11",25125,0,1.10319542475768
"2012-03-24","DS3","D03",8955,2e-06,0.393198608107663
"2012-03-24","DS3","D04",10318,2e-07,0.453045587767154
"2012-03-24","DS3","D05",15050,2e-08,0.660819547964303
"2012-03-24","DS3","D06",24828,2e-09,1.09015466690084
"2012-03-24","DS3","D07",23620,2e-10,1.03711346996125
"2012-03-24","DS3","D08",25756,2e-11,1.13090154666901
"2012-03-24","DS3","D09",23842,2e-12,1.04686110714717
"2012-03-24","DS3","D10",24652,2e-13,1.08242681039309
"2012-03-24","DS3","D11",23736,0,1.04220682993227
